Vivado Simulator 2019.1
Time resolution is 1 ps
Time=0 rst_n=0 sclk=0 mosi=x cs_n=1 
Time=100000 rst_n=1 sclk=0 mosi=x cs_n=1 
Time=110000 rst_n=1 sclk=0 mosi=x cs_n=0 
Time=130000 rst_n=1 sclk=0 mosi=0 cs_n=0 
Time=150000 rst_n=1 sclk=1 mosi=0 cs_n=0 
Time=170000 rst_n=1 sclk=0 mosi=0 cs_n=0 
Time=190000 rst_n=1 sclk=1 mosi=0 cs_n=0 
Time=210000 rst_n=1 sclk=0 mosi=0 cs_n=0 
Time=230000 rst_n=1 sclk=1 mosi=0 cs_n=0 
Time=250000 rst_n=1 sclk=0 mosi=0 cs_n=0 
Time=270000 rst_n=1 sclk=1 mosi=0 cs_n=0 
Time=290000 rst_n=1 sclk=0 mosi=1 cs_n=0 
Time=310000 rst_n=1 sclk=1 mosi=1 cs_n=0 
Time=330000 rst_n=1 sclk=0 mosi=1 cs_n=0 
Time=350000 rst_n=1 sclk=1 mosi=1 cs_n=0 
Time=370000 rst_n=1 sclk=0 mosi=1 cs_n=0 
Time=390000 rst_n=1 sclk=1 mosi=1 cs_n=0 
Time=410000 rst_n=1 sclk=0 mosi=1 cs_n=0 
Time=430000 rst_n=1 sclk=1 mosi=1 cs_n=0 
Time=450000 rst_n=1 sclk=0 mosi=0 cs_n=0 
Time=470000 rst_n=1 sclk=1 mosi=0 cs_n=0 
Time=490000 rst_n=1 sclk=0 mosi=0 cs_n=0 
Time=510000 rst_n=1 sclk=1 mosi=0 cs_n=0 
Time=530000 rst_n=1 sclk=0 mosi=0 cs_n=0 
Time=550000 rst_n=1 sclk=1 mosi=0 cs_n=0 
Time=570000 rst_n=1 sclk=0 mosi=0 cs_n=0 
Time=590000 rst_n=1 sclk=1 mosi=0 cs_n=0 
Time=610000 rst_n=1 sclk=0 mosi=0 cs_n=0 
Time=630000 rst_n=1 sclk=1 mosi=0 cs_n=0 
Time=650000 rst_n=1 sclk=0 mosi=0 cs_n=0 
Time=670000 rst_n=1 sclk=1 mosi=0 cs_n=0 
Time=690000 rst_n=1 sclk=0 mosi=0 cs_n=0 
Time=710000 rst_n=1 sclk=1 mosi=0 cs_n=0 
Time=730000 rst_n=1 sclk=0 mosi=0 cs_n=0 
Time=750000 rst_n=1 sclk=1 mosi=0 cs_n=0 
Time=770000 rst_n=1 sclk=0 mosi=0 cs_n=1 
Time=790000 rst_n=1 sclk=0 mosi=0 cs_n=0 
Time=830000 rst_n=1 sclk=1 mosi=0 cs_n=0 
Time=850000 rst_n=1 sclk=0 mosi=0 cs_n=0 
Time=870000 rst_n=1 sclk=1 mosi=0 cs_n=0 
Time=890000 rst_n=1 sclk=0 mosi=0 cs_n=0 
Time=910000 rst_n=1 sclk=1 mosi=0 cs_n=0 
Time=930000 rst_n=1 sclk=0 mosi=0 cs_n=0 
Time=950000 rst_n=1 sclk=1 mosi=0 cs_n=0 
Time=970000 rst_n=1 sclk=0 mosi=1 cs_n=0 
Time=990000 rst_n=1 sclk=1 mosi=1 cs_n=0 
